Data,Iterations,Time
4,10000,2.516e-05
4,100000,8.846e-05
4,1000000,0.0001012
4,10000000,0.0006922
9,10000,2.733e-05
9,100000,3.227e-05
9,1000000,0.0001067
9,10000000,0.0007161
100,10000,2.406e-05
100,100000,4.785e-05
100,1000000,9.837e-05
100,10000000,0.000818
400,10000,5.476e-05
400,100000,0.0001141
400,1000000,0.0001262
400,10000000,0.0007832
1024,10000,5.08e-05
1024,100000,2.877e-05
1024,1000000,8.941e-05
1024,10000000,0.000669
