Data,Iterations,Time
4,10000,0.003368
4,100000,0.0008965
4,1000000,0.009265
4,10000000,0.1642
9,10000,0.0003545
9,100000,0.0008647
9,1000000,0.009943
9,10000000,0.2196
100,10000,0.0005134
100,100000,0.0006132
100,1000000,0.009289
100,10000000,0.183
400,10000,0.0004685
400,100000,0.000606
400,1000000,0.008683
400,10000000,0.1836
1024,10000,0.0004275
1024,100000,0.0005959
1024,1000000,0.008677
1024,10000000,0.1819
