Data,Iterations,Time
4,10000,0.000021
4,100000,0.000291
4,1000000,0.002250
4,10000000,0.023090
9,10000,0.000022
9,100000,0.000213
9,1000000,0.002260
9,10000000,0.023179
100,10000,0.000022
100,100000,0.000214
100,1000000,0.002298
100,10000000,0.023169
400,10000,0.000022
400,100000,0.000216
400,1000000,0.002279
400,10000000,0.023186
1024,10000,0.000023
1024,100000,0.000226
1024,1000000,0.002296
1024,10000000,0.023232
