Data,Iterations,Time
4,10000,1.024e-05
4,100000,2.56e-05
4,1000000,0.0002253
4,10000000,0.00222
9,10000,6.144e-06
9,100000,2.56e-05
9,1000000,0.0002263
9,10000000,0.002216
100,10000,7.168e-06
100,100000,2.56e-05
100,1000000,0.0002253
100,10000000,0.002217
400,10000,6.816e-06
400,100000,2.56e-05
400,1000000,0.0002253
400,10000000,0.002217
1024,10000,8.128e-06
1024,100000,2.662e-05
1024,1000000,0.0002253
1024,10000000,0.002217
