Data,Iterations,Time
4,10000,0.000014
4,100000,0.000032
4,1000000,0.000209
4,10000000,0.001956
9,10000,0.000012
9,100000,0.000024
9,1000000,0.000202
9,10000000,0.001955
100,10000,0.000012
100,100000,0.000166
100,1000000,0.000206
100,10000000,0.001958
400,10000,0.000014
400,100000,0.000029
400,1000000,0.000205
400,10000000,0.001961
1024,10000,0.000012
1024,100000,0.000215
1024,1000000,0.000206
1024,10000000,0.001957
