Data,Iterations,Time
4,10000,0.000034
4,100000,0.000027
4,1000000,0.000220
4,10000000,0.002165
9,10000,0.000006
9,100000,0.000026
9,1000000,0.000220
9,10000000,0.002165
100,10000,0.000005
100,100000,0.000026
100,1000000,0.000220
100,10000000,0.002165
400,10000,0.000006
400,100000,0.000026
400,1000000,0.000220
400,10000000,0.002165
1024,10000,0.000006
1024,100000,0.000026
1024,1000000,0.000220
1024,10000000,0.002165
