Data,Iterations,Time
4,10000,0.000038
4,100000,0.000114
4,1000000,0.000504
4,10000000,0.004524
9,10000,0.000006
9,100000,0.000045
9,1000000,0.000511
9,10000000,0.004602
100,10000,0.000006
100,100000,0.000571
100,1000000,0.002028
100,10000000,0.005866
400,10000,0.006447
400,100000,0.000780
400,1000000,0.000538
400,10000000,0.010161
1024,10000,0.000013
1024,100000,0.000561
1024,1000000,0.000962
1024,10000000,0.004815
