Data,Iterations,Time
4,10000,0.000053
4,100000,0.000788
4,1000000,0.022242
4,10000000,0.241814
9,10000,0.000051
9,100000,0.000638
9,1000000,0.015288
9,10000000,0.245198
100,10000,0.000080
100,100000,0.000705
100,1000000,0.020711
100,10000000,0.239912
400,10000,0.000047
400,100000,0.000692
400,1000000,0.021349
400,10000000,0.239428
1024,10000,0.000048
1024,100000,0.000679
1024,1000000,0.020532
1024,10000000,0.239285
