Data,Iterations,Time
4,10000,0.0003767
4,100000,0.003424
4,1000000,0.02019
4,10000000,0.2011
9,10000,0.0004448
9,100000,0.002295
9,1000000,0.01918
9,10000000,0.2043
100,10000,0.0004239
100,100000,0.002383
100,1000000,0.01884
100,10000000,0.202
400,10000,0.0004657
400,100000,0.002337
400,1000000,0.01863
400,10000000,0.2059
1024,10000,0.000477
1024,100000,0.002412
1024,1000000,0.01912
1024,10000000,0.2089
